TIME OF FLIP,STARTED,LANDED
22/04/18 22:15:51,h,h
22/04/18 22:15:54,h,t
22/04/18 22:15:57,h,t
22/04/18 22:16:02,h,h
22/04/18 22:16:05,h,t
22/04/18 22:16:07,h,h
22/04/18 22:16:10,h,h
22/04/18 22:16:14,h,h
22/04/18 22:16:16,h,t
22/04/18 22:16:19,h,t
22/04/18 22:16:22,h,t
22/04/18 22:16:28,h,t
22/04/18 22:16:32,h,h
22/04/18 22:16:36,h,h
22/04/18 22:16:39,h,h
22/04/18 22:16:41,h,h
22/04/18 22:16:44,h,t
22/04/18 22:16:50,h,h
22/04/18 22:16:53,h,t
22/04/18 22:16:56,h,t
22/04/18 22:17:01,h,h
22/04/18 22:17:03,h,t
22/04/18 22:17:07,h,t
22/04/18 22:17:10,h,t
22/04/18 22:17:13,h,t
22/04/18 22:17:15,h,t
22/04/18 22:17:18,h,h
22/04/18 22:17:21,h,h
22/04/18 22:17:24,h,h
22/04/18 22:17:27,h,t
22/04/18 22:17:29,h,h
22/04/18 22:17:33,h,h
22/04/18 22:17:36,h,t
22/04/18 22:17:39,h,t
22/04/18 22:17:43,h,t
22/04/18 22:17:48,h,h
22/04/18 22:17:51,h,t
22/04/18 22:17:55,h,t
22/04/18 22:17:58,h,h
22/04/18 22:18:01,h,h
22/04/18 22:18:04,h,h
22/04/18 22:18:10,h,t
22/04/18 22:18:13,h,t
22/04/18 22:18:16,h,t
22/04/18 22:18:18,h,t
22/04/18 22:18:26,h,t
22/04/18 22:18:30,h,t
22/04/18 22:18:32,h,h
22/04/18 22:18:35,h,h
22/04/18 22:18:38,h,h
22/04/18 22:18:40,h,h
22/04/18 22:18:42,h,h
22/04/18 22:18:45,h,h
22/04/18 22:18:49,h,h
22/04/18 22:18:52,h,t
22/04/18 22:18:57,h,t
22/04/18 22:19:01,h,h
22/04/18 22:19:13,h,t
22/04/18 22:19:17,h,h
22/04/18 22:19:21,h,t
22/04/18 22:19:24,h,t
22/04/18 22:19:27,h,h
22/04/18 22:19:30,h,t
22/04/18 22:19:33,h,t
22/04/18 22:19:36,h,h
22/04/18 22:19:38,h,h
22/04/18 22:19:41,h,h
22/04/18 22:19:44,h,h
22/04/18 22:19:46,h,t
22/04/18 22:19:50,h,t
22/04/18 22:19:54,h,t
22/04/18 22:19:57,h,h
22/04/18 22:19:59,h,t
22/04/18 22:21:19,h,h
22/04/18 22:21:22,h,h
22/04/18 22:21:24,h,t
22/04/18 22:21:29,h,h
22/04/18 22:21:35,h,h
22/04/18 22:21:38,h,h
22/04/18 22:21:41,h,t
22/04/18 22:21:44,h,h
22/04/18 22:21:47,h,t
22/04/18 22:21:53,h,t
22/04/18 22:22:00,h,t
22/04/18 22:22:05,h,t
22/04/18 22:22:10,h,h
22/04/18 22:22:15,h,t
22/04/18 22:22:18,h,h
22/04/18 22:22:21,h,t
22/04/18 22:22:29,h,h
22/04/18 22:22:32,h,h
22/04/18 22:22:34,h,h
22/04/18 22:22:39,h,h
22/04/18 22:22:42,h,t
22/04/18 22:22:45,h,t
22/04/18 22:22:47,h,h
22/04/18 22:22:50,h,t
22/04/18 22:22:53,h,t
22/04/18 22:22:59,h,h
22/04/18 22:23:02,h,t
22/04/18 22:23:04,h,t
22/04/18 22:23:08,h,t
22/04/18 22:23:10,h,h
22/04/18 22:23:13,h,t
22/04/18 22:23:17,h,h
22/04/18 22:23:19,h,h
22/04/18 22:23:22,h,t
22/04/18 22:23:26,h,h
22/04/18 22:23:28,h,t
22/04/18 22:23:32,h,h
22/04/18 22:23:37,h,t
22/04/18 22:23:40,h,t
22/04/18 22:23:44,h,t
22/04/18 22:23:47,h,t
22/04/18 22:23:49,h,h
22/04/18 22:23:52,h,t
22/04/18 22:23:55,h,h
22/04/18 22:23:57,h,t
22/04/18 22:24:00,h,h
22/04/18 22:24:02,h,t
22/04/18 22:24:05,h,h
22/04/18 22:24:08,h,t
22/04/18 22:24:11,h,t
22/04/18 22:24:14,h,h
22/04/18 22:24:17,h,h
22/04/18 22:24:20,h,h
22/04/18 22:24:23,h,t
22/04/18 22:24:25,h,h
22/04/18 22:24:31,h,h
22/04/18 22:24:35,h,t
22/04/18 22:24:37,h,h
22/04/18 22:24:40,h,h
22/04/18 22:24:45,h,h
22/04/18 22:24:48,h,h
22/04/18 22:24:51,h,t
22/04/18 22:24:59,h,t
22/04/18 22:25:03,h,t
22/04/18 22:25:06,h,t
22/04/18 22:25:09,h,h
22/04/18 22:25:12,h,h
22/04/18 22:25:14,h,h
22/04/18 22:25:17,h,t
22/04/18 22:25:20,h,t
22/04/18 22:25:23,h,t
22/04/18 22:25:26,h,h
22/04/18 22:25:28,h,h
22/04/18 22:25:32,h,h
22/04/18 22:25:35,h,t
22/04/18 22:25:40,h,h
22/04/18 22:25:43,h,t
22/04/18 22:25:46,h,h
22/04/18 22:25:49,h,h
22/04/18 22:25:52,h,h
22/04/18 22:25:55,h,h
22/04/18 22:25:58,h,t
22/04/18 22:26:00,h,h
22/04/18 22:26:04,h,t
22/04/18 22:26:07,h,h
22/04/18 22:26:10,h,t
22/04/18 22:26:13,h,t
22/04/18 22:26:16,h,t
22/04/18 22:26:19,h,t
22/04/18 22:26:22,h,t
22/04/18 22:26:24,h,t
22/04/18 22:26:27,h,h
22/04/18 22:26:32,h,h
22/04/18 22:26:37,h,h
22/04/18 22:26:44,h,h
22/04/18 22:26:50,h,t
22/04/18 22:26:53,h,h
22/04/18 22:26:56,h,t
22/04/18 22:26:59,h,t
22/04/18 22:27:02,h,h
22/04/18 22:27:05,h,t
22/04/18 22:27:07,h,h
22/04/18 22:27:10,h,t
22/04/18 22:27:13,h,h
22/04/18 22:27:19,h,t
22/04/18 22:27:22,h,h
22/04/18 22:27:24,h,t
22/04/18 22:27:27,h,t
22/04/18 22:27:31,h,h
22/04/18 22:27:34,h,t
22/04/18 22:27:37,h,h
22/04/18 22:27:40,h,t
22/04/18 22:27:43,h,t
22/04/18 22:27:46,h,t
22/04/18 22:27:50,h,t
22/04/18 22:27:54,h,t
22/04/18 22:27:57,h,t
22/04/18 22:28:00,h,h
22/04/18 22:28:03,h,h
22/04/18 22:28:05,h,t
22/04/18 22:28:08,h,h
22/04/18 22:28:14,h,t
22/04/18 22:28:17,h,h
22/04/18 22:28:20,h,h
22/04/18 22:28:23,h,t
22/04/18 22:28:25,h,h
22/04/18 22:30:00,t,h
22/04/18 22:30:02,t,h
22/04/18 22:30:07,t,h
22/04/18 22:30:11,t,h
22/04/18 22:30:14,t,h
22/04/18 22:30:23,t,h
22/04/18 22:30:27,t,t
22/04/18 22:30:30,t,t
22/04/18 22:30:32,t,h
22/04/18 22:30:36,t,h
22/04/18 22:30:40,t,t
22/04/18 22:30:45,t,t
22/04/18 22:30:48,t,t
22/04/18 22:30:51,t,t
22/04/18 22:30:54,t,t
22/04/18 22:30:58,t,t
22/04/18 22:31:00,t,t
22/04/18 22:31:03,t,t
22/04/18 22:31:07,t,t
22/04/18 22:31:09,t,h
22/04/18 22:31:15,t,t
22/04/18 22:31:18,t,h
22/04/18 22:31:21,t,t
22/04/18 22:31:24,t,h
22/04/18 22:31:27,t,t
22/04/18 22:31:30,t,h
22/04/18 22:31:37,t,t
22/04/18 22:31:42,t,t
22/04/18 22:31:45,t,h
22/04/18 22:31:49,t,t
22/04/18 22:31:52,t,h
22/04/18 22:31:56,t,h
22/04/18 22:31:59,t,h
22/04/18 22:32:03,t,h
22/04/18 22:32:09,t,t
22/04/18 22:32:14,t,h
22/04/18 22:32:17,t,t
22/04/18 22:32:21,t,t
22/04/18 22:32:24,t,t
22/04/18 22:32:28,t,t
22/04/18 22:32:31,t,t
22/04/18 22:32:33,t,t
22/04/18 22:32:38,t,t
22/04/18 22:32:40,t,h
22/04/18 22:32:43,t,t
22/04/18 22:32:47,t,h
22/04/18 22:32:54,t,h
22/04/18 22:32:58,t,h
22/04/18 22:33:01,t,t
22/04/18 22:33:06,t,h
22/04/18 22:33:10,t,t
22/04/18 22:33:13,t,t
22/04/18 22:33:15,t,h
22/04/18 22:33:19,t,t
22/04/18 22:33:21,t,h
22/04/18 22:33:25,t,t
22/04/18 22:33:29,t,h
22/04/18 22:33:33,t,t
22/04/18 22:33:36,t,t
22/04/18 22:33:39,t,h
22/04/18 22:33:42,t,t
22/04/18 22:33:45,t,h
22/04/18 22:33:50,t,h
22/04/18 22:33:55,t,h
22/04/18 22:33:59,t,t
22/04/18 22:34:03,t,h
